LARGEST_GIFT_AMOUNT,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,LAST_GIFT_AMOUNT,Financially_In_Dept,Avg_Gift_Amount,gifting_Capcity,gift_check,age,cat_LARGEST_GIFT_AMOUNT
180.0,2003,2012,2012,3.0,73084.0,187500.0,504.0,2244.0,176607.0,0.0,M,180.0,False,168.0,0.006896174265229051,False,56.0,0
165.0,2013,2013,2013,1.0,75165.0,125000.0,165.0,2157.0,0.0,0.0,F,165.0,False,165.0,0.002195170624625823,False,72.0,0
300.0,1993,2002,2018,35.0,114507.0,187500.0,2556.0,4565.0,364012.0,7.0,M,180.0,False,73.02571428571429,0.022320906145475824,False,73.0,0
100.0,2019,2019,2019,1.0,454160.0,375000.0,100.0,28481.0,861961.0,0.0,M,100.0,False,100.0,0.0002201867183371499,False,51.0,0
100.0,2009,2009,2022,5.0,55263.0,62500.0,340.0,1375.0,395538.0,0.0,F,70.0,False,68.0,0.006152398530662469,False,53.0,0
50.0,2007,2007,2011,2.0,74219.0,87500.0,70.0,2575.0,563981.0,0.0,M,20.0,False,35.0,0.0009431547177946348,False,52.0,0
225.0,2014,2014,2014,1.0,529018.0,375000.0,225.0,42192.0,1013060.0,4.0,M,225.0,False,225.0,0.0004253163408428447,False,67.0,0
180.0,2006,2011,2014,7.0,115253.0,187500.0,881.0,4629.0,374948.0,0.0,F,25.0,False,125.85714285714286,0.0076440526493887365,False,74.0,0
50.0,2022,2022,2022,1.0,39573.0,62500.0,50.0,1318.0,477960.0,0.0,F,50.0,False,50.0,0.0012634877315341269,False,48.0,0
180.0,2012,2016,2017,3.0,94347.0,187500.0,510.0,3954.0,376744.0,0.0,F,15.0,False,170.0,0.005405577283856403,False,63.0,0
100.0,2017,2017,2017,1.0,67404.0,39700.0,100.0,2070.0,677913.0,0.0,M,100.0,False,100.0,0.001483591478250549,False,67.0,0
50.0,2017,2017,2017,1.0,51905.0,39400.0,50.0,1349.0,643095.0,0.0,F,50.0,False,50.0,0.000963298333493883,False,73.0,0
180.0,2007,2011,2011,2.0,79538.0,125000.0,230.0,3276.0,636151.0,0.0,M,150.0,False,115.0,0.0028916995649878046,False,61.0,0
200.0,2014,2014,2014,1.0,325692.0,375000.0,200.0,8709.0,750382.0,0.0,F,200.0,False,200.0,0.0006140771035211181,False,66.0,0
50.0,2013,2013,2013,1.0,108372.0,187500.0,50.0,4139.0,520670.0,0.0,F,50.0,False,50.0,0.00046137378658694125,False,57.0,0
180.0,2011,2012,2016,4.0,114145.0,112500.0,410.0,4365.0,633841.0,0.0,M,50.0,False,102.5,0.0035919225546454073,False,82.0,0
350.0,2010,2011,2018,10.0,93550.0,375000.0,1050.0,4568.0,0.0,1.0,M,180.0,False,105.0,0.01122394441475147,False,43.0,0
