ID,LARGEST_GIFT_AMOUNT,BIRTH_DATE,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_GIFT_AMOUNT,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_NETWORTH,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,FIRST_GIFT_AMOUNT,LAST_GIFT_AMOUNT,EDUCATION_SCHOOL_NAME,GRADUATE_DATE,TOTAL_YEARS_GIVING
16497,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16498,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16499,,11/1/1959,,,,,,86312,187500,787526,0,2362,226247,0,M,,,,,
16500,,,,,,,,41097,40100,714855,0,1198,345886,0,M,,,,,
16501,,,,,,,,0,0,0,0,0,0,0,,,,,,
16502,,7/1/1958,,,,,,2871712,187500,2543725,2777612,4861,307005,2,M,,,,,
16503,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16504,,2/1/1932,,,,,,181320,187500,4702275,0,7265,468383,0,F,,,,,
16505,250,3/1/1943,6/1/2012,6/12/2012,12/15/2014,450,3,261392,375000,4776977,4121,8985,498655,0,M,250,100,,,450
16506,,3/1/1949,,,,,,72500,125000,625291,0,2195,0,0,F,,,,,
16507,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16508,,,,,,,,0,0,0,0,0,0,0,,,,,,
16509,100,,6/16/2011,6/16/2011,6/16/2011,100,1,100,0,0,100,0,0,0,M,100,100,,,100
16510,,9/1/1932,,,,,,20033,29900,11362,0,1392,0,0,F,,,,,
16511,,12/1/1972,,,,,,16875,62500,23969,0,1340,0,0,F,,,,,
16512,,8/1/1957,,,,,,81875,187500,430331,0,2424,0,0,F,,,,,
16513,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16514,,8/1/1969,,,,,,32895,54900,342251,0,1315,317522,1,M,,,,,
16515,,6/1/1960,,,,,,77964,187500,678119,2964,2362,0,0,M,,,,,
16516,200,,6/6/2012,6/6/2012,6/6/2012,200,1,200,0,0,200,0,0,0,F,200,200,,,200
16517,,5/1/1948,,,,,,49801,62500,550989,0,1661,346028,0,M,,,,,
16518,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16519,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16520,,4/1/1935,,,,,,38000,45000,358490,0,1621,0,0,M,,,,,
16521,,3/1/2014,,,,,,75250,87500,66492,0,2556,0,0,F,,,,,
16522,,4/1/1930,,,,,,89048,87500,1496240,0,4065,555955,0,F,,,,,
16523,,1/1/1957,,,,,,80625,187500,725956,0,2424,0,0,F,,,,,
16524,100,,6/2/1996,6/10/2010,6/1/2011,110,3,110,0,0,110,0,0,0,M,10,20,,,110
16525,,4/1/1976,,,,,,26880,112000,200924,0,1663,0,0,M,,,,,
16526,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16527,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16528,,11/1/1977,,,,,,3850,17500,916,0,758,0,0,F,,,,,
16529,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16530,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16531,180,,6/1/2013,6/1/2013,6/1/2013,180,1,180,0,0,180,0,0,0,F,180,180,,,180
16532,180,3/1/1959,2/25/2006,3/1/2012,3/1/2012,852,7,113290,225000,1269658,852,4543,403755,0,F,144,180,,,852
16533,,,,,,,,13505,74750,29008,50,1482,0,0,F,,,,,
16534,,6/1/1950,,,,,,56964,62500,820575,0,1633,514287,0,F,,,,,
16535,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16536,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16537,,6/1/1978,,,,,,7700,35000,7817,0,1010,0,0,F,,,,,
16538,,8/1/1972,,,,,,110865,225000,1694119,0,4299,554078,1,M,,,,,
16539,,,,,,,,0,0,0,0,0,0,0,,,,,,
16540,,3/1/1955,,,,,,127588,187500,2029434,0,4807,453146,0,F,,,,,
16541,,,,,,,,0,0,0,0,0,0,0,,,,,,
16542,,6/1/2019,,,,,,381929,375000,12882422,3147,37392,865022,0,M,,,,,
16543,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16544,,7/1/1950,,,,,,147112,225000,2262779,0,5623,692231,0,M,,,,,
16545,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16546,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16547,180,11/1/1941,4/7/2010,6/1/2014,6/15/2015,615,6,60457,47500,974266,615,2471,645837,0,F,25,15,,,615
16548,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16549,,10/19/1976,,,,,,0,0,0,0,0,0,0,M,,,,,
16550,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16551,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16552,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16553,,8/1/1976,,,,,,122771,187500,2179685,2215,4026,727775,0,M,,,,,
16554,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16555,,,,,,,,0,0,0,0,0,0,0,,,,,,
16556,,7/1/1943,,,,,,61908,62500,930956,0,1734,525667,0,F,,,,,
16557,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16558,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16559,,6/1/1935,,,,,,261500,375000,3854070,0,9309,354998,0,M,,,,,
16560,25,11/1/1940,6/4/2005,9/16/2021,9/16/2021,175,11,41694,45500,460671,175,1546,293480,0,F,10,25,,,175
16561,,,,,,,,0,0,0,0,0,0,0,,,,,,
16562,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16563,,12/1/1985,,,,,,6650,47500,12441,0,1070,0,0,F,,,,,
16564,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16565,,,,,,,,8364,46466,12756,0,1260,0,0,M,,,,,
16566,,10/1/1936,,,,,,78175,87500,983126,0,3459,461004,0,M,,,,,
16567,,11/1/1965,,,,,,63750,187500,542349,0,2244,0,0,M,,,,,
16568,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16569,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16570,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16571,,1/1/1982,,,,,,46364,47500,631567,0,1107,489714,0,M,,,,,
16572,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16573,,6/1/1933,,,,,,80375,112500,672301,0,2410,0,0,F,,,,,
16574,,1/1/1970,,,,,,26000,70000,165202,0,1441,0,0,M,,,,,
16575,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16576,,5/1/1934,,,,,,57750,87500,57153,0,2153,0,0,F,,,,,
16577,50,4/1/1945,6/2/2011,6/2/2011,6/2/2011,50,1,76078,70000,1184005,2480,2994,701962,0,M,50,50,,,50
16578,180,2/1/1932,6/7/2009,6/1/2010,8/20/2012,330,3,69678,62500,1132050,330,3208,336517,0,M,180,10,,,330
16579,,5/1/1976,,,,,,21300,57500,158898,0,1262,0,0,F,,,,,
16580,,5/1/1949,,,,,,164484,225000,2886239,0,5987,618742,0,F,,,,,
16581,,,,,,,,0,0,0,0,0,0,0,,,,,,
16582,,11/1/1955,,,,,,14864,28100,67314,0,1114,0,0,F,,,,,
16583,,1/1/1949,,,,,,71881,57500,1197468,0,2634,851125,0,M,,,,,
16584,,2/1/1947,,,,,,44939,54000,497151,0,1577,326381,0,F,,,,,
16585,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16586,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16587,,10/1/1961,,,,,,325163,375000,7156247,0,8124,730850,0,F,,,,,
16588,10000,,9/15/2021,9/15/2021,9/15/2021,10000,1,10000,0,0,10000,0,0,0,M,10000,10000,,,10000
16589,,12/1/1982,,,,,,66842,187500,913943,0,3195,699343,0,F,,,,,
16590,543.21,11/1/1952,6/24/2018,6/24/2018,6/24/2018,543.21,1,224473,375000,4974732,983,8179,944794,0,M,543.21,543.21,,,543.21
16591,,,,,,,,0,0,0,0,0,0,0,,,,,,
16592,,8/1/1972,,,,,,32000,87500,235450,0,1554,0,0,M,,,,,
16593,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16594,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16595,250,1/1/1957,1/6/2004,1/27/2005,6/14/2011,450,3,177700,375000,2038302,450,6480,320000,0,M,100,100,,,450
16596,,,,,,,,0,0,0,0,0,0,0,,,,,,
16597,180,4/1/1932,6/14/2011,6/14/2011,6/14/2011,180,1,65409,70000,782748,180,1997,352583,0,F,180,180,,,180
16598,1500,9/1/1964,2/24/2001,11/17/2019,11/17/2019,5571,11,172001,225000,3252945,7786,5257,1477690,3,M,250,1500,,,5571
16599,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16600,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16601,,,,,,,,10056,55868,25618,0,1342,0,0,F,,,,,
16602,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16603,,7/1/1968,,,,,,11968,37400,10550,0,1131,0,0,F,,,,,
16604,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16605,,5/1/2024,,,,,,142500,187500,2100606,0,6628,0,0,M,,,,,
16606,,,,,,,,0,0,0,0,0,0,0,F,,,,,
16607,,,,,,,,0,0,0,0,0,0,0,M,,,,,
16608,,,,,,,,0,0,0,0,0,0,0,M,,,,,
