ID,LARGEST_GIFT_AMOUNT,BIRTH_DATE,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_GIFT_AMOUNT,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_NETWORTH,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,FIRST_GIFT_AMOUNT,LAST_GIFT_AMOUNT,Financially_In_Dept,Avg_Gift_Amount,gifting_Capcity,gift_check,age,Group,Score
5407,40.0,1974-07-01,2006,2006,2015,119.0,5.0,29119.0,87500.0,220413,119.0,1528.0,0.0,0.0,F,40.0,5.0,False,23.8,0.0040866788007829,False,48.0,0,10.909426115207374
5409,100.0,1980-12-01,2011,2011,2011,100.0,1.0,33285.0,70000.0,333380,100.0,1312.0,397694.0,0.0,F,100.0,100.0,False,100.0,0.0030043563166591,False,42.0,0,11.616592665074021
5466,6.93,1990-11-01,2021,2022,2022,108.33,16.0,21983.0,187500.0,173636,108.0,1811.0,0.0,0.0,F,6.76,6.93,True,6.770625,0.0049278988309147,False,32.0,0,10.661283097803578
5521,750.0,2013-09-01,1991,1991,1993,1750.0,4.0,55500.0,62500.0,41322,1750.0,2224.0,0.0,0.0,M,750.0,250.0,True,437.5,0.0315315315315315,False,9.0,0,10.408455954689497
5614,180.0,1982-08-01,2006,2015,2016,1119.0,10.0,11649.0,58500.0,19224,1119.0,1207.0,0.0,0.0,M,144.0,15.0,True,111.9,0.0960597476178212,False,40.0,0,3.932940224915983
5690,180.0,1979-12-01,2008,2013,2013,870.0,6.0,17120.0,62500.0,93092,870.0,1262.0,0.0,0.0,F,180.0,100.0,False,145.0,0.0508177570093457,False,43.0,0,10.010947702781023
5809,180.0,1972-03-01,2011,2011,2011,180.0,1.0,7880.0,27500.0,5259,180.0,962.0,0.0,0.0,F,180.0,180.0,True,180.0,0.0228426395939086,False,51.0,0,11.975687952287316
5884,180.0,1977-03-01,2003,2011,2012,717.0,5.0,71651.0,47500.0,1216238,717.0,1866.0,699911.0,0.0,F,144.0,15.0,False,143.4,0.0100068387042748,False,46.0,0,11.546295962461194
6005,180.0,1980-12-01,2013,2013,2013,180.0,1.0,16805.0,87500.0,37639,180.0,1439.0,0.0,0.0,F,180.0,180.0,True,180.0,0.0107110978875334,False,42.0,0,11.14765057966975
6221,100.0,1983-04-01,2014,2014,2014,100.0,1.0,6050.0,35000.0,7065,100.0,967.0,0.0,0.0,M,100.0,100.0,True,100.0,0.0165289256198347,False,40.0,0,10.851663097773388
6280,180.0,1986-01-01,2009,2016,2017,1395.0,8.0,13645.0,87500.0,35705,1395.0,1378.0,0.0,0.0,F,180.0,15.0,True,174.375,0.1022352510076951,False,37.0,0,3.863687943612236
6446,180.0,1973-10-01,2011,2011,2011,180.0,1.0,413154.0,187500.0,9845397,180.0,21608.0,730511.0,0.0,F,180.0,180.0,False,180.0,0.000435672896789,False,49.0,0,11.393790688734985
6466,180.0,1980-07-01,2007,2011,2016,906.0,7.0,18406.0,87500.0,38029,906.0,1451.0,0.0,0.0,F,144.0,150.0,True,129.42857142857142,0.0492230794306204,False,42.0,0,9.895443688843011
6543,50.0,1980-12-01,2011,2011,2011,50.0,1.0,3375.0,17500.0,674,50.0,738.0,0.0,0.0,F,50.0,50.0,True,50.0,0.0148148148148148,False,42.0,0,11.881918420272333
6613,180.0,1965-05-01,2011,2011,2011,180.0,1.0,35805.0,87500.0,229172,180.0,1650.0,0.0,0.0,F,180.0,180.0,False,180.0,0.0050272308336824,False,57.0,0,11.747555245561516
6681,180.0,1983-03-01,2010,2011,2016,325.0,4.0,27011.0,87500.0,217582,325.0,1414.0,236221.0,0.0,F,180.0,20.0,False,81.25,0.0120321350560882,False,40.0,0,11.695439348728929
